dstPort,Unique Ports,Auth Failures,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,bwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,Label
17086,19,0,0x0002,0x0014,0,0.000011903,64240,0,0,83886.08,0,74,0,54,0,0,0,0,0,0,0,0,0,4529848.32,TCP,0,0,1,1,2,74,54,0,1.19209289550781E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
11253,20,0,0x0002,0x0014,0,0.000063278,64240,0,0,15827.5622641509,0,74,0,54,0,0,0,0,0,0,0,0,0,854688.362264151,TCP,0,0,1,1,2,74,54,0,6.31809234619141E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
42596,21,0,0x0002,0x0014,0,0.000104325,64240,0,0,9576.03652968037,0,74,0,54,0,0,0,0,0,0,0,0,0,517105.97260274,TCP,0,0,1,1,2,74,54,0,0.0001044273376464,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
55011,22,0,0x0002,0x0014,0,0.000108062,64240,0,0,9258.94922737307,0,74,0,54,0,0,0,0,0,0,0,0,0,499983.258278146,TCP,0,0,1,1,2,74,54,0,0.000108003616333,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
21191,23,0,0x0002,0x0014,0,0.000016641,64240,0,0,59918.6285714286,0,74,0,54,0,0,0,0,0,0,0,0,0,3235605.94285714,TCP,0,0,1,1,2,74,54,0,1.66893005371094E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
53585,24,0,0x0002,0x0014,0,0.000127308,64240,0,0,7854.50187265918,0,74,0,54,0,0,0,0,0,0,0,0,0,424143.101123596,TCP,0,0,1,1,2,74,54,0,0.0001273155212402,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
51572,25,0,0x0002,0x0014,0,0.000064491,64240,0,0,15477.1365313653,0,74,0,54,0,0,0,0,0,0,0,0,0,835765.372693727,TCP,0,0,1,1,2,74,54,0,6.46114349365234E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
31452,26,0,0x0002,0x0014,0,0.000050705,64240,0,0,19784.4528301887,0,74,0,54,0,0,0,0,0,0,0,0,0,1068360.45283019,TCP,0,0,1,1,2,74,54,0,5.05447387695313E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
31871,27,0,0x0002,0x0014,0,0.000092753,64240,0,0,10782.2724935733,0,74,0,54,0,0,0,0,0,0,0,0,0,582242.714652956,TCP,0,0,1,1,2,74,54,0,9.27448272705078E-05,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
56924,28,0,0x0002,0x0014,0,0.000005471,64240,0,0,182361.043478261,0,74,0,54,0,0,0,0,0,0,0,0,0,9847496.34782609,TCP,0,0,1,1,2,74,54,0,5.48362731933594E-06,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,Portscan
