82017,"104.234.189.177 80 149.102.157.168 19667 TCP",104.234.189.177,19667,0x0012,0x0004,0.0,4.5485e-05,875,0,TCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"",0.0,0.0,0.0,0.0,1192065.347368421,0.0,0.0,0.0,22075.284210526315,0.0,0.0,1.0,1.0,2.0,66.0,54.0,0.0,4.5299530029296875e-05,0.0,54.0,0.0,0.0,0.0,0.0,0.0,Portscan,12,0,BR
82018,"104.234.189.177 80 149.102.157.168 10156 TCP",104.234.189.177,10156,0x0012,0x0004,0.0,5.5484e-05,875,0,TCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"",0.0,0.0,0.0,0.0,976260.4137931034,0.0,0.0,0.0,18078.896551724138,0.0,0.0,1.0,1.0,2.0,66.0,54.0,0.0,5.53131103515625e-05,0.0,54.0,0.0,0.0,0.0,0.0,0.0,Portscan,13,0,BR
82019,"104.234.189.177 80 149.102.157.168 31385 TCP",104.234.189.177,31385,0x0012,0x0004,0.0,3.997e-06,875,0,TCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"",0.0,0.0,0.0,0.0,13323083.294117646,0.0,0.0,0.0,246723.76470588235,0.0,0.0,1.0,1.0,2.0,66.0,54.0,0.0,4.0531158447265625e-06,0.0,54.0,0.0,0.0,0.0,0.0,0.0,Portscan,14,0,BR
82020,"104.234.189.177 80 149.102.157.168 55708 TCP",104.234.189.177,55708,0x0012,0x0004,0.0,1.3365e-05,875,0,TCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"",0.0,0.0,0.0,0.0,4044507.4285714286,0.0,0.0,0.0,74898.28571428571,0.0,0.0,1.0,1.0,2.0,66.0,54.0,0.0,1.33514404296875e-05,0.0,54.0,0.0,0.0,0.0,0.0,0.0,Portscan,15,0,BR
82021,"104.234.189.177 80 149.102.157.168 1337 TCP",104.234.189.177,1337,0x0012,0x0004,0.0,6.872e-06,875,0,TCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"",0.0,0.0,0.0,0.0,8089014.857142857,0.0,0.0,0.0,149796.57142857142,0.0,0.0,1.0,1.0,2.0,66.0,54.0,0.0,6.67572021484375e-06,0.0,54.0,0.0,0.0,0.0,0.0,0.0,Portscan,16,0,BR
82022,"104.234.189.177 80 149.102.157.168 48545 TCP",104.234.189.177,48545,0x0012,0x0004,0.0,2.097e-05,875,0,TCP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"",0.0,0.0,0.0,0.0,2573777.4545454546,0.0,0.0,0.0,47662.545454545456,0.0,0.0,1.0,1.0,2.0,66.0,54.0,0.0,2.09808349609375e-05,0.0,54.0,0.0,0.0,0.0,0.0,0.0,Portscan,17,0,BR
84732,"149.102.157.168 50723 185.187.242.52 53 UDP",149.102.157.168,53,0.0,0.0,0.0,0.0,0.0,0.0,UDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,48.0,114.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,90.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hulk,1,0.0,DE
84733,"149.102.157.168 49831 185.187.242.52 53 UDP",149.102.157.168,53,0.0,0.0,0.0,0.0,0.0,0.0,UDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,62.0,143.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,104.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hulk,1,0.0,DE
84734,"149.102.157.168 47934 34.117.188.166 443 UDP",149.102.157.168,443,0.0,0.0,0.0,0.0,0.0,0.0,UDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,1995.0,20314.0,0.0,0.0,0.0,0.0,7.0,18.0,25.0,2289.0,21070.0,0.0,0.0,0.0,0.0,0.0,443.93735941568076,0.0,197080.3790849673,0.0,Hulk,1,0.0,DE
84735,"149.102.157.168 54684 34.149.97.1 443 UDP",149.102.157.168,443,0.0,0.0,0.0,0.0,0.0,0.0,UDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"",0.0,0.0,0.0,0.0,0.0,1852.0,9822.0,0.0,0.0,0.0,0.0,5.0,11.0,16.0,2062.0,10284.0,0.0,0.0,0.0,0.0,0.0,594.7675940307196,0.0,353748.4909090909,0.0,Hulk,1,0.0,DE
