forward,srcIP,dstPort,Unique Ports,Auth Failures,Origin,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,bwd meanDelta,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN,Forward FIN flag count,Forward SYN flag count,Forward RST flag count,Forward ACK flag count,Forward 0x0014 flag count,Forward ACK-PSH flag count,Forward 0x003F flag count,Forward ACK-FIN-PSH flag count,Forward URG flag count,Forward FIN-ACK flag count,Backward FIN flag count,Backward RST flag count,Backward ACK flag count,Backward 0x0014 flag count,Backward ACK-PSH flag count,Backward 0x003F flag count,Backward SYN-ACK flag count,Backward ACK-FIN-PSH flag count,Backward URG flag count,Backward FIN-ACK flag count,Label
185.182.193.115 64574 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0011,0.029399992,0.000149289,64256,64384,8.395446691004587,9.941988464273486,0.0,583,0.0,2962.0,0.018397682071428573,0.0003383284447707011,7.031637181291944e-07,0.018062261376386134,0.0008385485782762943,29208.30769230769,910553.6944444445,1171.764488158783,5349.894459164055,0.0006187502222222222,TCP,1022.0,4241.0,14.0,9.0,23.0,1954.0,4843.0,1.6675705909729004,0.9052515029907227,139.57142857142858,176.53353716387645,31164.089743589742,538.1111111111111,953.7391473097406,909618.3611111111,9.417533874511719e-05,0.0,0.0,2.0,0.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,HTTP DoS
185.182.193.115 50695 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0011,0.191491938,0.00016585,64256,64384,5.502279685100521,6.241156439865643,0.0,583,0.0,2962.0,0.035738932,0.0030446573638887417,1.1331308499712778e-06,0.05410688641555092,0.0010644861905967958,29768.897435897437,910553.6944444445,788.5190041032515,3358.4356264743674,0.0007342024444444445,TCP,997.0,4241.0,13.0,9.0,22.0,1863.0,4843.0,2.362657070159912,1.4420404434204102,143.30769230769232,178.59423707150103,31895.901515151516,538.1111111111111,953.7391473097406,909618.3611111111,7.128715515136719e-05,0.0,0.0,2.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,HTTP DoS
185.182.193.115 30627 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0011,0.024083461,0.00011228,64256,64512,13.565471632301405,15.018723703920317,0.0,583,0.0,2962.0,0.012844813846153847,0.00027501283514728975,3.180100222721944e-07,0.01626147036435683,0.0005639237734589617,28123.358974358973,910553.6944444445,1910.6445045187595,8081.742099787343,0.0003970332222222222,TCP,965.0,4241.0,13.0,9.0,22.0,1831.0,4843.0,0.958315372467041,0.5992519855499268,140.84615384615384,173.60114072380418,30137.35606060606,538.1111111111111,953.7391473097406,909618.3611111111,0.00012230873107910156,0.0,0.0,2.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,HTTP DoS
185.182.193.115 22559 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0011,0.037177425,2.9255e-05,64256,64512,6.787203807987413,6.8185060631644205,0.0,583,0.0,2962.0,0.03147729869230769,0.00526351997725177,2.3069595136950002e-07,0.07114124613192846,0.0004803081837419596,26902.358974358973,910553.6944444445,942.3771441090215,3669.113873767254,0.00034737500000000003,TCP,939.0,4241.0,13.0,9.0,22.0,1805.0,4843.0,1.9153690338134766,1.3199372291564941,138.84615384615384,169.80637368913614,28834.204545454544,538.1111111111111,953.7391473097406,909618.3611111111,0.0001304149627685547,0.0,0.0,2.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,HTTP DoS
185.182.193.115 34837 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0011,0.034800901,3.5135e-05,64256,64512,5.724751608913217,5.7891498038294325,0.0,583,0.0,2962.0,0.029139625846153847,0.002249700357804785,3.065293351341944e-07,0.0465099281978175,0.0005536509145067806,27736.589743589742,910553.6944444445,802.7863217729843,3115.2058333273267,0.0003329067777777778,TCP,957.0,4241.0,13.0,9.0,22.0,1823.0,4843.0,2.270840883255005,1.5546324253082275,140.23076923076923,172.40761689564752,29724.386363636364,538.1111111111111,953.7391473097406,909618.3611111111,4.363059997558594e-05,0.0,0.0,2.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,HTTP DoS
185.182.193.115 57546 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0011,0.092702008,5.5493e-05,64256,64384,7.4552226450892745,9.283740023949163,0.0,583,0.0,2962.0,0.028431862285714284,0.0021788726040847437,1.5163916114616109e-06,0.04583727441032496,0.001231418536266858,28102.576923076922,910553.6944444445,1029.3532409255406,4995.683659553977,0.0007209218888888888,TCP,1001.0,4241.0,14.0,9.0,23.0,1933.0,4843.0,1.877878189086914,0.9694368839263916,138.07142857142858,173.1636990441896,29985.666666666668,538.1111111111111,953.7391473097406,909618.3611111111,9.584426879882812e-05,0.0,0.0,2.0,0.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,HTTP DoS
185.182.193.115 45471 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0011,0.078851693,2.7031e-05,64256,64512,7.892066250059137,10.044026504346215,0.0,583,0.0,2962.0,0.025988181428571427,0.001609924069223605,2.3791054404077779e-07,0.03940084746597524,0.0004877607446697385,26445.917582417584,910553.6944444445,1070.5024149187357,5404.802262283191,0.00033115244444444444,TCP,967.0,4241.0,14.0,9.0,23.0,1899.0,4843.0,1.7739334106445312,0.8960549831390381,135.64285714285714,167.99282646467302,28221.589743589742,538.1111111111111,953.7391473097406,909618.3611111111,0.00010991096496582031,0.0,0.0,2.0,0.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,HTTP DoS
185.182.193.115 18224 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0019,0.028895951,5.5082e-05,64256,64384,4.959537490234967,5.0144671057793255,0.0,583,0.0,2962.0,0.027086679833333335,0.002079107294732908,3.6169550029426787e-07,0.04463717984056606,0.0006014112572061384,31272.151515151516,1004946.125,738.1444964633043,2994.26367053848,0.000387797375,TCP,986.0,4241.0,12.0,8.0,20.0,1786.0,4777.0,2.4195804595947266,1.595383882522583,148.83333333333334,183.47439752034762,33662.854545454546,597.125,1001.8694579206842,1003742.4107142857,6.937980651855469e-05,0.0,0.0,2.0,0.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,HTTP DoS
185.182.193.115 42202 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0011,0.044675898,2.7101e-05,64256,64512,11.695081554514935,15.094911584842842,0.0,583,0.0,2962.0,0.016581245214285716,0.00040642859394730607,3.309333179615278e-07,0.0197967999186893,0.0005752680401008975,26538.796703296703,910553.6944444445,1588.0250025094922,8122.7396450437645,0.00043489955555555554,TCP,969.0,4241.0,14.0,9.0,23.0,1901.0,4843.0,1.1970844268798828,0.5962274074554443,135.78571428571428,168.2867668518113,28320.4358974359,538.1111111111111,953.7391473097406,909618.3611111111,8.821487426757812e-05,0.0,0.0,2.0,0.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,HTTP DoS
185.182.193.115 25083 149.102.157.168 443 TCP,185.182.193.115,443,1,0,Nowhere,0x0014,0x0019,0.036897903,0.000145682,64256,64512,10.558943632201572,14.596092678818756,0.0,583,0.0,2962.0,0.020563831153846156,0.000687196894616057,4.179369734142124e-06,0.025705373851067248,0.0020443506876615188,26768.166666666668,1004946.125,1463.6320327097872,8715.691840839649,0.001152263875,TCP,936.0,4241.0,13.0,8.0,21.0,1802.0,4777.0,1.2311837673187256,0.5480918884277344,138.6153846153846,169.38444706964955,28691.090909090908,597.125,1001.8694579206842,1003742.4107142857,8.177757263183594e-05,0.0,0.0,2.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,HTTP DoS
