flowID,srcIP,dstPort,Unique Ports,Auth Failures,Origin,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,bwd meanDelta,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,Label
149.102.157.168 52200 172.67.75.166 80 TCP,149.102.157.168,80,1,0.0,Nowhere,0x0010,0x0011,4.5034e-05,0.004490812,64128,65536,19.267704423152644,23.772139530191374,0.0,236,0.0,1022,0.019990635142857142,0.0025550768682037796,8.8460366731755e-06,0.048709048210961746,0.0029742287526643776,4128.571428571428,182314.2,1761.6186901168132,6176.001849943719,0.004351302,TCP,170.0,961.0,7.0,5.0,12.0,640.0,1299.0,0.36330223083496094,0.21033024787902832,91.42857142857143,69.40220937885671,4816.666666666667,259.8,426.09646795062736,181558.2,0.004170894622802734,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
149.102.157.168 40690 184.104.179.137 443 TCP,149.102.157.168,443,1,0.0,Nowhere,0x0010,0x0011,4.8361e-05,0.009372613,64128,43008,14.519333003739558,12.126503162521239,0.0,583,0.0,2962,0.004963868545454545,0.0001800616405100852,0.0001637844737207685,0.013110187660247258,0.012797830820915257,27236.854545454546,807553.6555555556,2092.1038919024727,8293.315512848276,0.0088320704,TCP,851.0,6171.0,11.0,10.0,21.0,1585.0,6839.0,0.757610559463501,0.8246400356292725,144.0909090909091,171.84776854982888,29531.655555555557,683.9,898.0328439922946,806462.9888888889,0.009399175643920898,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0
149.102.157.168 48830 104.26.5.15 80 TCP,149.102.157.168,80,1,0.0,Nowhere,0x0010,0x0011,9.168e-06,0.004070598,64128,65536,6.609620963753276,8.905368737074987,0.0,236,0.0,1018,0.06881305057142857,0.030313604937612336,1.8751889036251203e-05,0.16777469249582488,0.0043303451405460975,4128.571428571428,180789.8,604.3082024002995,2306.4905029024217,0.0047172918000000005,TCP,170.0,957.0,7.0,5.0,12.0,640.0,1295.0,1.0590622425079346,0.5614590644836426,91.42857142857143,69.40220937885671,4816.666666666667,259.0,424.30767138952365,180037.0,0.00394749641418457,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
149.102.157.168 40704 184.104.179.137 443 TCP,149.102.157.168,443,1,0.0,Nowhere,0x0010,0x0011,3.213e-05,0.009305818,64128,43008,8.457623618329505,7.391848183782114,0.0,583,0.0,1514,0.0037956660833333333,0.00010716818414244913,0.010740811218385287,0.010134241122872187,0.10363788505361003,25259.53787878788,342076.8,1163.6280494885011,4640.064700819591,0.039593690545454543,TCP,851.0,6171.0,12.0,11.0,23.0,1651.0,6905.0,1.4188382625579834,1.4881258010864258,137.58333333333334,165.0359189554036,27236.854545454546,627.7272727272727,584.11045032752,341185.0181818182,0.009361028671264648,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0
149.102.157.168 36460 104.26.5.15 80 TCP,149.102.157.168,80,1,0.0,Nowhere,0x0010,0x0011,1.7383e-05,0.004934058,64128,65536,7.102868980459696,9.473562004418868,0.0,236,0.0,1018,0.06301977442857143,0.02553288839231231,1.4790251075851501e-05,0.1539776303558549,0.0038458095475272175,4128.571428571428,180789.8,649.4051639277436,2453.652559144487,0.005205905,TCP,170.0,957.0,7.0,5.0,12.0,640.0,1295.0,0.9855172634124756,0.5277845859527588,91.42857142857143,69.40220937885671,4816.666666666667,259.0,424.30767138952365,180037.0,0.005604743957519531,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
149.102.157.168 36502 184.104.179.137 443 TCP,149.102.157.168,443,1,0.0,Nowhere,0x0010,0x0011,4.4272e-05,0.009040865,64128,43008,9.065774516551386,7.972232777024686,0.0,583,0.0,1514,0.0046924304166666665,0.00011061462050154427,0.007763195574901252,0.010295905884410879,0.08810899826295412,25259.53787878788,342076.8,1247.2994772355282,5004.387938668678,0.034196327454545455,TCP,851.0,6171.0,12.0,11.0,23.0,1651.0,6905.0,1.3236596584320068,1.379789113998413,137.58333333333334,165.0359189554036,27236.854545454546,627.7272727272727,584.11045032752,341185.0181818182,0.008973836898803711,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0
149.102.157.168 36466 104.26.5.15 80 TCP,149.102.157.168,80,1,0.0,Nowhere,0x0010,0x0011,4.0234e-05,0.004197055,64128,65536,7.228044295704502,9.777401898552704,0.0,236,0.0,1022,0.06335356114285715,0.02587454653783012,1.16459713644767e-05,0.15500440200933266,0.003412619428602712,4128.571428571428,182314.2,660.8497641786973,2540.1690132439926,0.0042647382,TCP,170.0,961.0,7.0,5.0,12.0,640.0,1299.0,0.9684500694274902,0.5113832950592041,91.42857142857143,69.40220937885671,4816.666666666667,259.8,426.09646795062736,181558.2,0.003828287124633789,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
149.102.157.168 36510 184.104.179.137 443 TCP,149.102.157.168,443,1,0.0,Nowhere,0x0010,0x0011,1.3896e-05,0.009469955,64128,43008,8.10148332932538,7.152200583184385,0.0,583,0.0,1514,0.006350959,0.0002299622675131577,0.006812658037248548,0.01484521829973464,0.08253882745259075,25259.53787878788,342076.8,1114.6290813930168,4489.631366080744,0.031833808636363634,TCP,851.0,6171.0,12.0,11.0,23.0,1651.0,6905.0,1.4812102317810059,1.5379881858825684,137.58333333333334,165.0359189554036,27236.854545454546,627.7272727272727,584.11045032752,341185.0181818182,0.00944828987121582,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0
149.102.157.168 36482 104.26.5.15 80 TCP,149.102.157.168,80,1,0.0,Nowhere,0x0010,0x0011,4.0305e-05,0.004329541,64128,65536,6.867483868734325,9.269716832223214,0.0,236,0.0,1018,0.066368331,0.02842255665735561,1.5618543935287296e-05,0.16245729912494872,0.003952030356068548,4128.571428571428,180789.8,627.8842394271384,2400.8566595458124,0.0047059614,TCP,170.0,957.0,7.0,5.0,12.0,640.0,1295.0,1.0192961692810059,0.5393908023834229,91.42857142857143,69.40220937885671,4816.666666666667,259.0,424.30767138952365,180037.0,0.004188060760498047,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
149.102.157.168 36514 184.104.179.137 443 TCP,149.102.157.168,443,1,0.0,Nowhere,0x0010,0x0011,2.6019e-05,0.00934949,64128,43008,8.678423968425571,7.622285581552412,0.0,583,0.0,1514,0.00429425725,0.00013061434557951306,0.008974495294609109,0.011188032945087651,0.09473381283685942,25259.53787878788,342076.8,1194.006497655885,4784.71654005631,0.03562235063636364,TCP,851.0,6171.0,12.0,11.0,23.0,1651.0,6905.0,1.382739543914795,1.4431366920471191,137.58333333333334,165.0359189554036,27236.854545454546,627.7272727272727,584.11045032752,341185.0181818182,0.009306669235229492,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0
