dstPort,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,bwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,Label
80,0x0010,0x0010,10.236805713,0.003317843,501,269,0.195312477080736,0.195188328193064,0,66,0,66,0,0.003256599,0,7.501655072E-09,0,8.66120954139779E-05,0,0,12.8906234873286,12.8824296607422,TCP,0,0,2,2,4,132,132,10.2400012016296,10.2465143203735,66,0,0,66,0,0,0,0,2,0,0,0,0,0,0,
443,0x0010,0x0010,0,0.01745078,501,7964,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0,3782.05951307484,TCP,0,0,1,1,2,66,66,0,0.0174508094787598,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
5491,0x0002,0x0014,0,0.000050785,1024,0,0,0,0,60,0,54,0,0,0,0,0,0,0,0,0,1063344.67605634,TCP,0,0,1,1,2,60,54,0,5.07831573486328E-05,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
80,0x0010,0x0010,0,0.004501187,501,8,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0,14663.0681709836,TCP,0,0,1,1,2,66,66,0,0.0045011043548584,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
443,0x0010,0x0010,0,0.009894208,501,15797,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0,6670.62011132798,TCP,0,0,1,1,2,66,66,0,0.00989413261413574,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
443,0x0010,0x0010,0,0.015445282,501,900,0,0,0,54,0,60,0,0,0,0,0,0,0,0,0,3884.63393174135,TCP,0,0,1,1,2,54,60,0,0.0154454708099365,54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
443,0x0010,0x0010,0,0.016995531,501,501,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0,3883.34241425265,TCP,0,0,1,1,2,66,66,0,0.0169956684112549,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
80,0x0010,0x0010,0,0.003759326,501,131,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0,17557.1804401598,TCP,0,0,1,1,2,66,66,0,0.00375914573669434,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
80,0x0010,0x0010,0,0.003722998,501,8,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0,17728.0860710855,TCP,0,0,1,1,2,66,66,0,0.0037229061126709,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
80,0x0010,0x0010,0,0.004850499,501,135,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0,13607.1600471884,TCP,0,0,1,1,2,66,66,0,0.00485038757324219,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
