flowID,srcIP,dstPort,Unique Ports,Auth Failures,Origin,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,bwd meanDelta,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN-Flag count,ACK-Flag count,RST-Flag count,PSH-Flag count,FIN-Flag count,URG-Flag count,CWR-Flag count,ECE-Flag count,Label
79.124.62.82 54891 149.102.157.168 29292 TCP,79.124.62.82,29292,1,0.0,Nowhere,0x0004,0x0014,0.043534952,9.9866e-05,1200,0,45.835130069884215,10010.272076372315,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750.107804193053,540554.6921241051,0.0,TCP,0.0,0.0,2.0,1.0,3.0,120.0,54.0,0.043634653091430664,9.989738464355469e-05,60.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Port Scan
167.94.145.19 20316 149.102.157.168 8883 TCP,167.94.145.19,8883,1,0.0,Nowhere,0x0002,0x0014,0.0,9.64e-05,1024,0,0.0,10381.940594059406,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560624.792079208,0.0,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,9.632110595703125e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Port Scan
79.124.40.70 49297 149.102.157.168 20428 TCP,79.124.40.70,20428,1,0.0,Nowhere,0x0004,0x0014,0.039428156,8.062e-05,1200,0,50.62160857391137,12409.183431952662,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3037.2965144346817,670095.9053254438,0.0,TCP,0.0,0.0,2.0,1.0,3.0,120.0,54.0,0.039508819580078125,8.058547973632812e-05,60.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Port Scan
45.141.122.11 67 255.255.255.255 68 UDP,45.141.122.11,68,1,0,Nowhere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UDP,10560.0,0.0,33.0,0.0,33.0,11946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
43.153.169.80 57149 149.102.157.168 9993 TCP,43.153.169.80,9993,1,0,Nowhere,0x0002,0x0014,0.0,8.4067e-05,61690,0,0.0,11881.881019830029,0.0,66,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641621.5750708216,0.0,TCP,0.0,0.0,1.0,1.0,2.0,66.0,54.0,0.0,8.416175842285156e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Port Scan
114.119.137.190 53829 149.102.157.168 443 TCP,114.119.137.190,443,1,0,Nowhere,0x0011,0x0010,0.000130654,2.3433e-05,38912,64128,0.4236084773691955,0.42380830650699314,0.0,596,0.0,1514.0,0.18897207145454545,0.08489745303536994,0.07108094055518926,0.28467258016429786,0.2666100908727749,44951.472727272725,268363.96153846156,69.04818181117886,136.49654671714515,0.07524376364285715,TCP,1139.0,3717.0,11.0,14.0,25.0,1793.0,4509.0,25.967374563217163,33.03380274772644,163.0,217.79605648914358,47435.12222222222,322.07142857142856,516.6426326679883,266919.6098901099,7.748603820800781e-05,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
91.148.190.146 49297 149.102.157.168 2632 TCP,91.148.190.146,2632,1,0,Nowhere,0x0004,0x0014,0.046358116,9.622e-05,1200,0,43.05316588227445,10407.70223325062,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2583.189952936467,562015.9205955334,0.0,TCP,0.0,0.0,2.0,1.0,3.0,120.0,54.0,0.04645419120788574,9.608268737792969e-05,60.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Port Scan
91.223.169.83 51900 149.102.157.168 2080 TCP,91.223.169.83,2080,1,0,Nowhere,0x0002,0x0014,0.0,8.9647e-05,65535,0,0.0,11155.063829787234,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602373.4468085107,0.0,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,8.96453857421875e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Port Scan
79.124.59.202 49297 149.102.157.168 18093 TCP,79.124.59.202,18093,1,0,Nowhere,0x0004,0x0014,0.041943855,7.6073e-05,1200,0,47.59655931549443,13148.288401253918,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2855.793558929666,710007.5736677116,0.0,TCP,0.0,0.0,2.0,1.0,3.0,120.0,54.0,0.04201984405517578,7.605552673339844e-05,60.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Port Scan
162.216.150.176 55999 149.102.157.168 9799 TCP,162.216.150.176,9799,1,0,Nowhere,0x0002,0x0014,0.0,0.000120594,65535,0,0.0,8289.138339920948,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447613.4703557312,0.0,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,0.00012063980102539062,0.0,0.0,0.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Port Scan
