dstPort,Unique Ports,Auth Failures,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,bwd meanDelta,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN,Forward FIN flag count,Forward SYN flag count,Forward RST flag count,Forward ACK flag count,Forward 0x0014 flag count,Forward ACK-PSH flag count,Forward 0x003F flag count,Forward ACK-FIN-PSH flag count,Forward URG flag count,Forward FIN-ACK flag count,Backward FIN flag count,Backward RST flag count,Backward ACK flag count,Backward 0x0014 flag count,Backward ACK-PSH flag count,Backward 0x003F flag count,Backward SYN-ACK flag count,Backward ACK-FIN-PSH flag count,Backward URG flag count,Backward FIN-ACK flag count,Label
80,2,0,0x0010,0x0011,0.096236295,0.000177922,42240.0,64256.0,0.7353477588654936,0.9918882241438696,0.0,132,0.0,266.0,0.6557980098333334,1.9537157525235656,2.0909976718916672e-08,1.3382474010734844,0.000144602824035,1014.0,11236.0,53.68038639718103,109.10770465582566,0.00016783575,TCP,78.0,212.0,6.0,4.0,10.0,438.0,440.0,8.159404754638672,4.032712459564209,73.0,32.19937887599697,1036.8,110.0,104.15373253033228,10848.0,0.0001070499420166,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,AbuseIPDB - Web App Attack
443,2,0,0x0010,0x0011,0.001995411,0.00033713,42240.0,64128.0,3.890533420041025,5.333588143063795,0.0,296,0.0,2974.0,0.0359350120833333,0.0028495031607832,1.178991219115238e-06,0.0522568068524791,0.0010858136208001,5051.242424242424,1171258.142857143,341.7185187269367,2819.1823041908638,0.0006355897142857,TCP,346.0,3310.0,12.0,7.0,19.0,1054.0,3700.0,3.0844099521636963,1.3124372959136963,87.83333333333333,71.91358450504075,5171.563636363637,528.5714285714286,1081.38211827008,1169387.2857142857,7.462501525878906e-05,0.0,0.0,2.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,AbuseIPDB - Web App Attack
80,2,0,0x0010,0x0011,0.140888816,9.2342e-05,30336.0,65024.0,4.678129396930512,6.987670836918684,0.0,281,0.0,457.0,0.0710411705,0.0054123361143131,4.9220172529166685e-09,0.0704365537543331,7.015708982645067e-05,7704.166666666667,38220.25,482.6270161166645,1158.206441219272,0.00012111875,TCP,215.0,391.0,6.0,4.0,10.0,619.0,663.0,1.2825639247894287,0.5724368095397949,103.16666666666669,96.15092303249097,9245.0,165.75,194.20328696154107,37714.91666666666,0.000124454498291,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,AbuseIPDB - Web App Attack
443,2,0,0x0010,0x0011,0.143401822,0.000355854,40832.0,64512.0,2.945704112973426,4.045063686742596,0.0,362,0.0,2962.0,0.0649206186363636,0.0052338021991824,1.017741393238143e-06,0.0706816956447676,0.0010088316971815,15256.672727272728,1130898.3333333333,418.82556660822166,2310.3092313709853,0.0008518058571428,TCP,830.0,3528.0,11.0,7.0,18.0,1564.0,3998.0,3.7342514991760254,1.730504274368286,142.1818181818182,127.49901960407382,16256.0,571.1428571428571,1062.809237911713,1129563.4761904762,7.605552673339844e-05,0.0,0.0,2.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,AbuseIPDB - Web App Attack
443,1,0,0x0010,0x0018,0.233575652,0.000374178,43008.0,64640.0,1.7933400673330293,2.31027443123576,0.0,561,0.0,2962.0,0.1304346192222222,0.0113564949242457,2.8226449155346665e-07,0.1035643690637153,0.0005312856967333,28029.25,1300495.9,276.5728903842494,1607.56595840155,0.0004138183333333,TCP,786.0,3771.0,9.0,6.0,15.0,1388.0,4175.0,5.018568515777588,2.5970940589904785,154.22222222222223,175.5210610073414,30807.64285714286,695.8333333333334,1139.515408700851,1298495.3666666667,6.818771362304688e-05,0.0,0.0,2.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,AbuseIPDB - Web App Attack
80,2,0,0x0010,0x0011,0.096236295,0.000177922,42240.0,64256.0,0.7353477588654936,0.9918882241438696,0.0,132,0.0,266.0,0.6557980098333334,1.9537157525235656,2.0909976718916672e-08,1.3382474010734844,0.000144602824035,1014.0,11236.0,53.68038639718103,109.10770465582566,0.00016783575,TCP,78.0,212.0,6.0,4.0,10.0,438.0,440.0,8.159404754638672,4.032712459564209,73.0,32.19937887599697,1036.8,110.0,104.15373253033228,10848.0,0.0001070499420166,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,AbuseIPDB - Web App Attack
443,2,0,0x0010,0x0011,0.001995411,0.00033713,42240.0,64128.0,3.890533420041025,5.333588143063795,0.0,296,0.0,2974.0,0.0359350120833333,0.0028495031607832,1.178991219115238e-06,0.0522568068524791,0.0010858136208001,5051.242424242424,1171258.142857143,341.7185187269367,2819.1823041908638,0.0006355897142857,TCP,346.0,3310.0,12.0,7.0,19.0,1054.0,3700.0,3.0844099521636963,1.3124372959136963,87.83333333333333,71.91358450504075,5171.563636363637,528.5714285714286,1081.38211827008,1169387.2857142857,7.462501525878906e-05,0.0,0.0,2.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,AbuseIPDB - Web App Attack
80,2,0,0x0010,0x0011,0.141613998,0.000205635,30336.0,65024.0,4.678279847340448,6.99533053001132,0.0,281,0.0,457.0,0.0709881143333333,0.0054911361077694,3.825903348625e-08,0.0709474554309174,0.0001955991653516,7704.166666666667,38220.25,482.64253758395625,1159.4760353493764,0.00023361175,TCP,215.0,391.0,6.0,4.0,10.0,619.0,663.0,1.282522678375244,0.5718100070953369,103.16666666666669,96.15092303249097,9245.0,165.75,194.20328696154107,37714.91666666666,7.867813110351562e-05,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,AbuseIPDB - Web App Attack
443,2,0,0x0010,0x0011,0.141414001,0.000234379,40832.0,64512.0,2.9074076618068028,3.974991240435557,0.0,362,0.0,2962.0,0.0655238194545454,0.0052225747805324,2.056032971956476e-06,0.0706058426603702,0.001433887363762,15256.672727272728,1130898.3333333333,413.38050755144,2270.2878541801942,0.0012353648571428,TCP,830.0,3528.0,11.0,7.0,18.0,1564.0,3998.0,3.783439159393311,1.7610101699829102,142.1818181818182,127.49901960407382,16256.0,571.1428571428571,1062.809237911713,1129563.4761904762,0.0001184940338134,0.0,0.0,2.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,AbuseIPDB - Web App Attack
3000,1,0,0x0004,0x0011,0.178573384,4.2479e-05,0.0,65024.0,1.1153682332659405,1.2495860338702052,0.0,328,0.0,1485.0,0.294750401,0.3486517635001963,1.14542935175435e-05,0.5689886344271959,0.0033844192289879,10053.90476190476,386468.0,132.25080480153295,580.5576713360973,0.001877124,TCP,366.0,1985.0,7.0,5.0,12.0,830.0,2323.0,6.275954246520996,4.001325130462647,118.57142857142856,107.60669124176248,11579.2,464.6,620.3972920637227,384892.8,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,AbuseIPDB - Web App Attack
3000,1,0,0x00c2,0x0052,0.0,0.000104696,65535.0,65160.0,0.0,9554.223234624144,0.0,74,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707012.5193621868,0.0,TCP,0.0,0.0,1.0,1.0,2.0,74.0,74.0,0.0,0.0001046657562255,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Web App Attack
3000,1,0,0x0011,0x0010,0.069636424,0.00012293,65536.0,64768.0,7.989158084912462,8.010986135542785,0.0,577,0.0,74.0,0.0556507345,0.002330045824764,4.829401168838e-07,0.0451529633210109,0.0006949389303268,65280.25,0.0,1563.8776951216144,541.5426627626922,0.0004167566,TCP,511.0,0.0,4.0,5.0,9.0,783.0,338.0,0.500678539276123,0.6241428852081299,195.75,295.0259875558988,87040.33333333333,67.6,3.5777087639996634,12.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,AbuseIPDB - Web App Attack
3000,1,0,0x0010,0x0011,0.321518159,0.000923004,65536.0,64768.0,3.130307128862247,4.700715180169814,0.0,582,0.0,74.0,0.16000410475,0.0291939786800234,2.54237172637e-07,0.1598271921326923,0.0005042193695575,66564.0,0.0,616.6705043858626,322.7824423716606,0.0003416079999999,TCP,516.0,0.0,4.0,3.0,7.0,788.0,206.0,1.277829885482788,0.6382007598876953,197.0,297.9127389018469,88752.0,68.66666666666667,4.618802153517006,21.33333333333333,7.772445678710938e-05,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,AbuseIPDB - Web App Attack
3000,1,0,0x0018,0x0004,0.006775234,8.2203e-05,501.0,0.0,295.186431135196,145.8279674570614,0.0,78,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20367.863748328524,7874.710242681315,0.0,TCP,24.0,0.0,2.0,1.0,3.0,138.0,54.0,0.0067753791809082,0.0068573951721191,69.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Web App Attack
