dstPort,Unique Ports,Auth Failures,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,bwd meanDelta,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN,Forward FIN flag count,Forward SYN flag count,Forward RST flag count,Forward ACK flag count,Forward 0x0014 flag count,Forward ACK-PSH flag count,Forward 0x003F flag count,Forward ACK-FIN-PSH flag count,Forward URG flag count,Forward FIN-ACK flag count,Backward FIN flag count,Backward RST flag count,Backward ACK flag count,Backward 0x0014 flag count,Backward ACK-PSH flag count,Backward 0x003F flag count,Backward SYN-ACK flag count,Backward ACK-FIN-PSH flag count,Backward URG flag count,Backward FIN-ACK flag count,Label
53579,1,0,0x0014,0x0018,0.017443316,0.018273645,0,64256,45.0542620670394,55.1004847545355,0,98,0,73,0.0086240407499999,8.50143847118373E-05,0.0001068777464109,0.008624823860396,0.0103381693936094,484,120.333333333333,3198.8526067598,3544.79785254179,0.006338647,TCP,44,19,4,3,7,284,193,0.0887818336486816,0.0544459819793701,71,21.9393102292058,481.333333333333,64.3333333333333,9.60902353693305,92.3333333333333,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0,0.000081702,65535,0,0,12228.2915451895,0,60,0,54,0,0,0,0,0,0,0,0,660327.743440233,0,TCP,0,0,1,1,2,60,54,0,8.17775726318359E-05,0,0,0,54,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0.0,4.5244e-05,65535.0,0.0,0.0,22075.284210526315,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1192065.347368421,0.0,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,4.529953002929688e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Brute-Force
23,1,0,0x0002,0x0014,0.0,7.4389e-05,43954.0,0.0,0.0,13443.28205128205,0.0,60,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725937.2307692308,0.0,TCP,0.0,0.0,1.0,1.0,2.0,60.0,54.0,0.0,7.43865966796875e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Brute-Force
53579,1,0,0x0014,0x0018,0.036246033,0.012885268,0,64256,25.0900520428307,34.5762287108634,0,98,0,73,0.018191702,0.0003782150012859,5.40037616463623e-05,0.018191704871319,0.0073487251715084,484.0,120.333333333333,1781.39369504098,2224.40404706555,0.0043999016666666,TCP,44,19,4,3,7,284,193,0.159425735473633,0.0867648124694824,71.0,21.9393102292058,481.333333333333,64.3333333333333,9.60902353693305,92.3333333333333,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0.0,8.9347e-05,65535,0,0.0,11184.8106666667,0,60,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603979.776,0.0,TCP,0,0,1,1,2,60,54,0.0,8.94069671630859e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0.0,0.000124192,65535,0,0.0,8050.48752399232,0,60,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434726.326295585,0.0,TCP,0,0,1,1,2,60,54,0.0,0.0001242160797119,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AbuseIPDB - Brute-Force
53579,1,0,0x0014,0x0018,0.035900742,0.004246261,0,64256,27.1474229940259,39.4738209219302,0,98,0,73,0.01787559425,0.0003651857517792,5.68247773322433e-06,0.017875612795281,0.0023837948177694,484.0,120.333333333333,1927.46703257584,2539.48247931084,0.0014940766666666,TCP,44,19,4,3,7,284,193,0.147343635559082,0.0759997367858887,71.0,21.9393102292058,481.333333333333,64.3333333333333,9.60902353693305,92.3333333333333,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,AbuseIPDB - Brute-Force
60001,1,0,0x0002,0x0014,0.0,0.000215201,65535,0,0.0,4644.85492801772,0,60,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250822.166112957,0.0,TCP,0,0,1,1,2,60,54,0.0,0.0002152919769287,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AbuseIPDB - Brute-Force
53579,1,0,0x0014,0x0018,0.036246033,0.012885268,0,64256,25.0900520428307,34.5762287108634,0,98,0,73,0.018191702,0.0003782150012859,5.40037616463623e-05,0.018191704871319,0.0073487251715084,484.0,120.333333333333,1781.39369504098,2224.40404706555,0.0043999016666666,TCP,44,19,4,3,7,284,193,0.159425735473633,0.0867648124694824,71.0,21.9393102292058,481.333333333333,64.3333333333333,9.60902353693305,92.3333333333333,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0.0,8.9347e-05,65535,0,0.0,11184.8106666667,0,60,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603979.776,0.0,TCP,0,0,1,1,2,60,54,0.0,8.94069671630859e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0.0,5.1756e-05,65535,0,0.0,19328.5898617512,0,60,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1043743.85253456,0.0,TCP,0,0,1,1,2,60,54,0.0,5.17368316650391e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AbuseIPDB - Brute-Force
22,1,0,0x0002,0x0014,0.0,0.000124192,65535,0,0.0,8050.48752399232,0,60,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434726.326295585,0.0,TCP,0,0,1,1,2,60,54,0.0,0.0001242160797119,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AbuseIPDB - Brute-Force
53579,1,0,0x0014,0x0018,0.035900742,0.004246261,0,64256,27.1474229940259,39.4738209219302,0,98,0,73,0.01787559425,0.0003651857517792,5.68247773322433e-06,0.017875612795281,0.0023837948177694,484.0,120.333333333333,1927.46703257584,2539.48247931084,0.0014940766666666,TCP,44,19,4,3,7,284,193,0.147343635559082,0.0759997367858887,71.0,21.9393102292058,481.333333333333,64.3333333333333,9.60902353693305,92.3333333333333,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,AbuseIPDB - Brute-Force
60001,1,0,0x0002,0x0014,0.0,0.000215201,65535,0,0.0,4644.85492801772,0,60,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250822.166112957,0.0,TCP,0,0,1,1,2,60,54,0.0,0.0002152919769287,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AbuseIPDB - Brute-Force
