dstPort,Unique Ports,Auth Failures,fwd flags,bwd flags,fwd time delta,bwd time delta,fwd window size,bwd window size,fwd Packet Flow Rate/s,bwd Packet Flow Rate/s,min fwd packet length,max fwd packet length,min bwd packet length,max bwd packet length,fwd meanDelta,fwd varianceDelta,bwd varianceDelta,fwd stdDevDelta,bwd stdDevDelta,fwd variancePayloadSize,bwd variancePayloadSize,Fwd Packet Bytes/s,Bwd Packet Bytes/s,bwd meanDelta,protocol,fwd payload size,bwd payload size,fwd packetCount,bwd packetCount,packetCount,total fwd byteCount,total bwd byteCount,fwd flowDuration,bwd flowDuration,fwd meanByteSize,fwd stDevByteSize,fwd varianceByteSize,bwd meanByteSize,bwd stDevByteSize,bwd varianceByteSize,rtt,SYN,Forward FIN flag count,Forward SYN flag count,Forward RST flag count,Forward ACK flag count,Forward 0x0014 flag count,Forward ACK-PSH flag count,Forward 0x003F flag count,Forward ACK-FIN-PSH flag count,Forward URG flag count,Forward FIN-ACK flag count,Backward FIN flag count,Backward RST flag count,Backward ACK flag count,Backward 0x0014 flag count,Backward ACK-PSH flag count,Backward 0x003F flag count,Backward SYN-ACK flag count,Backward ACK-FIN-PSH flag count,Backward URG flag count,Backward FIN-ACK flag count,Label
23,1,0,0x0002,0x0014,0.0,8.5799e-05,65535,0,0.0,11683.2980501393,0,60,0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630898.094707521,0.0,TCP,0,0,1,1,2,60,54,0.0,8.55922698974609e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,AbuseIPDB - Hacking
443,1,0,0x0004,0x0012,0.292057275,7.7396e-05,0.0,65160.0,6.846155478404508,12905.55076923077,0.0,74,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.692417053102,955010.7569230768,0.0,TCP,0.0,0.0,2.0,1.0,3.0,134.0,74.0,0.2921347618103027,7.748603820800781e-05,67.0,0.0,0.0,74.0,0.0,0.0,7.748603820800781e-05,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,AbuseIPDB - Hacking
443,1,0,0x0004,0x0012,0.292057275,7.7396e-05,0.0,65160.0,6.846155478404508,12905.55076923077,0.0,74,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.692417053102,955010.7569230768,0.0,TCP,0.0,0.0,2.0,1.0,3.0,134.0,74.0,0.2921347618103027,7.748603820800781e-05,67.0,0.0,0.0,74.0,0.0,0.0,7.748603820800781e-05,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,AbuseIPDB - Hacking
6379,1,0,0x0002,0x0014,0.0,8.3345e-05,29200.0,0.0,0.0,11983.725714285714,0.0,74,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647121.1885714285,0.0,TCP,0.0,0.0,1.0,1.0,2.0,74.0,54.0,0.0,8.344650268554688e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Hacking
6379,1,0,0x0002,0x0014,0.0,8.3345e-05,29200.0,0.0,0.0,11983.725714285714,0.0,74,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647121.1885714285,0.0,TCP,0.0,0.0,1.0,1.0,2.0,74.0,54.0,0.0,8.344650268554688e-05,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,AbuseIPDB - Hacking
